task,model,scenario,feature_set,mismatch_rate,runs,n_mean,f1_macro_mean,f1_macro_sd,balanced_accuracy_mean,roc_auc_mean
HNSC_HPV_status,extra_trees,train_misaligned,multiomics_core,0.5,3,147.0,0.9367818276109151,0.00925635082591098,0.9015151515151515,0.9831515151515151
HNSC_HPV_status,extra_trees,train_misaligned,multiomics_core,0.75,3,147.0,0.897088418537103,0.026751214350438427,0.8484848484848485,0.9808484848484849
HNSC_HPV_status,extra_trees,train_misaligned,multiomics_core,1.0,3,147.0,0.840491622844564,0.011745409964497222,0.7803030303030303,0.9864242424242424
HNSC_HPV_status,logistic_l2,mrna_only,mrna,0.0,3,147.0,0.957920700350061,0.03823621795462149,0.9741818181818181,0.9798787878787879
HNSC_HPV_status,logistic_l2,test_misaligned,multiomics_core,0.0,3,147.0,0.9640218997161459,0.020361049484507406,0.958121212121212,0.9768484848484849
HNSC_HPV_status,logistic_l2,test_misaligned,multiomics_core,0.1,3,147.0,0.9634704320292004,0.020580597957030825,0.9518787878787879,0.9761212121212122
HNSC_HPV_status,logistic_l2,test_misaligned,multiomics_core,0.25,3,147.0,0.9302309855574548,0.012811486463934768,0.9113333333333333,0.9802424242424242
HNSC_HPV_status,logistic_l2,test_misaligned,multiomics_core,0.5,3,147.0,0.9147574293338127,0.04547043884301354,0.8948484848484849,0.9613333333333335
HNSC_HPV_status,logistic_l2,test_misaligned,multiomics_core,0.75,3,147.0,0.8613817815419015,0.041527736796894456,0.8253333333333334,0.9396363636363637
HNSC_HPV_status,logistic_l2,test_misaligned,multiomics_core,1.0,3,147.0,0.8626043020668434,0.08317261600762095,0.8391515151515151,0.96
HNSC_HPV_status,logistic_l2,train_misaligned,multiomics_core,0.0,3,147.0,0.9640218997161459,0.020361049484507406,0.958121212121212,0.9768484848484849
HNSC_HPV_status,logistic_l2,train_misaligned,multiomics_core,0.1,3,147.0,0.9640218997161459,0.020361049484507406,0.958121212121212,0.9757575757575757
HNSC_HPV_status,logistic_l2,train_misaligned,multiomics_core,0.25,3,147.0,0.9603165794491096,0.02244070630087881,0.963030303030303,0.9808484848484849
HNSC_HPV_status,logistic_l2,train_misaligned,multiomics_core,0.5,3,147.0,0.9521566022939272,0.01341806635174626,0.9603636363636364,0.9735757575757575
HNSC_HPV_status,logistic_l2,train_misaligned,multiomics_core,0.75,3,147.0,0.9344042838018742,0.02623828647925039,0.9425454545454546,0.9752727272727273
HNSC_HPV_status,logistic_l2,train_misaligned,multiomics_core,1.0,3,147.0,0.9201244903808524,0.03388016486174498,0.9198181818181818,0.9790303030303029
KIRC_grade_binary,extra_trees,mrna_only,mrna,0.0,3,152.0,0.7068572088236005,0.02165736445334564,0.7064659197012139,0.7679154995331466
KIRC_grade_binary,extra_trees,test_misaligned,multiomics_core,0.0,3,152.0,0.7200469377921602,0.04343814774631867,0.7193043884220355,0.7589869281045751
KIRC_grade_binary,extra_trees,test_misaligned,multiomics_core,0.1,3,152.0,0.7105173946300397,0.05274468091216411,0.7095004668534081,0.7548436041083099
KIRC_grade_binary,extra_trees,test_misaligned,multiomics_core,0.25,3,152.0,0.690237681692481,0.05479010386157569,0.6898926237161532,0.7454481792717087
KIRC_grade_binary,extra_trees,test_misaligned,multiomics_core,0.5,3,152.0,0.6767664239938033,0.05396614934386995,0.676704014939309,0.7285247432306255
KIRC_grade_binary,extra_trees,test_misaligned,multiomics_core,0.75,3,152.0,0.6463496502045566,0.038456641048990235,0.6477591036414566,0.6815476190476191
KIRC_grade_binary,extra_trees,test_misaligned,multiomics_core,1.0,3,152.0,0.5588632888007518,0.007807967387664119,0.5672268907563025,0.6361461251167134
KIRC_grade_binary,extra_trees,train_misaligned,multiomics_core,0.0,3,152.0,0.7200469377921602,0.04343814774631867,0.7193043884220355,0.7589869281045751
KIRC_grade_binary,extra_trees,train_misaligned,multiomics_core,0.1,3,152.0,0.7144292146041815,0.0709084391059002,0.7139355742296919,0.7673902894491129
KIRC_grade_binary,extra_trees,train_misaligned,multiomics_core,0.25,3,152.0,0.6899610854506074,0.06565995043258499,0.6901260504201682,0.7542016806722689
KIRC_grade_binary,extra_trees,train_misaligned,multiomics_core,0.5,3,152.0,0.7043978849072307,0.04915097186485313,0.7041316526610645,0.7708333333333334
KIRC_grade_binary,extra_trees,train_misaligned,multiomics_core,0.75,3,152.0,0.6821485556537544,0.07318006697084899,0.682422969187675,0.7568277310924371
KIRC_grade_binary,extra_trees,train_misaligned,multiomics_core,1.0,3,152.0,0.6868124656835958,0.041352882881524514,0.6867413632119513,0.7427054154995331
KIRC_grade_binary,logistic_l2,mrna_only,mrna,0.0,3,152.0,0.6249883456434867,0.006147509821337428,0.6276844070961718,0.6819561157796453
