task,seed,model,scenario,mismatch_rate,feature_set,best_epoch,best_validation_score,n,accuracy,balanced_accuracy,f1_macro,roc_auc_ovr_macro
UCEC_molecular_subtype,42,small_liquid_cfc_modality_sequence,train_misaligned,0.75,multiomics_core,9,0.9502726144805749,153,0.8169934640522876,0.8111343022057307,0.7888625711206356,0.9526004233514078
UCEC_molecular_subtype,42,liquid_cfc_modality_sequence,test_misaligned,0.75,multiomics_core,9,0.9815012635488978,153,0.5228758169934641,0.49116419294990726,0.4862340812613705,0.7446998265431256
UCEC_molecular_subtype,42,small_liquid_cfc_modality_sequence,test_misaligned,0.75,multiomics_core,10,0.978082298136646,153,0.5228758169934641,0.4898036487322201,0.48087887989203776,0.7408192037651377
UCEC_molecular_subtype,42,liquid_cfc_modality_sequence,train_misaligned,1.0,multiomics_core,35,0.8789769820971867,153,0.738562091503268,0.7007524221809935,0.6995983389547746,0.9017831598462973
UCEC_molecular_subtype,42,small_liquid_cfc_modality_sequence,train_misaligned,1.0,multiomics_core,24,0.8502987417793204,153,0.7124183006535948,0.6432050092764379,0.6503529242293287,0.863398950594723
UCEC_molecular_subtype,42,liquid_cfc_modality_sequence,test_misaligned,1.0,multiomics_core,5,0.9908858543417367,153,0.38562091503267976,0.3416924345495774,0.33241818702358605,0.6501352366758198
UCEC_molecular_subtype,42,small_liquid_cfc_modality_sequence,test_misaligned,1.0,multiomics_core,17,0.9785991353062965,153,0.43137254901960786,0.389625850340136,0.3844564692489386,0.6905202924052922
UCEC_molecular_subtype,43,liquid_cfc_modality_sequence,train_misaligned,0.0,multiomics_core,5,0.9935688025210084,153,0.9281045751633987,0.9395433931148217,0.9162271650233127,0.9862664324480761
UCEC_molecular_subtype,43,small_liquid_cfc_modality_sequence,train_misaligned,0.0,multiomics_core,6,0.9973529411764706,153,0.8627450980392157,0.886456400742115,0.8580954583498525,0.9763840898371356
UCEC_molecular_subtype,43,liquid_cfc_modality_sequence,test_misaligned,0.0,multiomics_core,3,0.9961344537815127,153,0.8823529411764706,0.8903241599670171,0.8652286931032576,0.9785964213858966
UCEC_molecular_subtype,43,small_liquid_cfc_modality_sequence,test_misaligned,0.0,multiomics_core,19,0.9921866246498598,153,0.8888888888888888,0.8951736755308184,0.8813591800356506,0.9807026275942279
UCEC_molecular_subtype,43,liquid_cfc_modality_sequence,train_misaligned,0.1,multiomics_core,4,0.9983193277310924,153,0.869281045751634,0.8903241599670171,0.8549145498720523,0.9780155351610436
UCEC_molecular_subtype,43,small_liquid_cfc_modality_sequence,train_misaligned,0.1,multiomics_core,18,0.9941384841980271,153,0.8758169934640523,0.8728251906823336,0.8727641584383158,0.9726064775164598
UCEC_molecular_subtype,43,liquid_cfc_modality_sequence,test_misaligned,0.1,multiomics_core,4,0.9955295868347339,153,0.8169934640522876,0.8158472479901051,0.7964697802197802,0.9470998067927063
UCEC_molecular_subtype,43,small_liquid_cfc_modality_sequence,test_misaligned,0.1,multiomics_core,5,0.9897426470588235,153,0.8562091503267973,0.8583513708513708,0.8290434062363886,0.9532283826098447
UCEC_molecular_subtype,43,liquid_cfc_modality_sequence,train_misaligned,0.25,multiomics_core,3,0.9907346851784191,153,0.8235294117647058,0.7965342197485054,0.7835910183906329,0.9616503363932388
UCEC_molecular_subtype,43,small_liquid_cfc_modality_sequence,train_misaligned,0.25,multiomics_core,4,0.9941547733223725,153,0.8235294117647058,0.8297412904555762,0.8090152008270475,0.9671914860613093
UCEC_molecular_subtype,43,liquid_cfc_modality_sequence,test_misaligned,0.25,multiomics_core,4,0.9980602240896358,153,0.7450980392156863,0.788546176046176,0.7545824651410712,0.9380769437847714
UCEC_molecular_subtype,43,small_liquid_cfc_modality_sequence,test_misaligned,0.25,multiomics_core,8,0.9977402836134454,153,0.738562091503268,0.7829906204906205,0.7450884844943446,0.9404073737392034
UCEC_molecular_subtype,43,liquid_cfc_modality_sequence,train_misaligned,0.5,multiomics_core,8,0.9710381842954573,153,0.8235294117647058,0.8080988455988456,0.8036103263386056,0.9604086112635983
UCEC_molecular_subtype,43,small_liquid_cfc_modality_sequence,train_misaligned,0.5,multiomics_core,6,0.9563369451041286,153,0.7973856209150327,0.806686765615337,0.7753431072316282,0.9492754612562404
UCEC_molecular_subtype,43,liquid_cfc_modality_sequence,test_misaligned,0.5,multiomics_core,3,0.994187675070028,153,0.6339869281045751,0.6054138321995465,0.5941221778566499,0.8391403056393067
UCEC_molecular_subtype,43,small_liquid_cfc_modality_sequence,test_misaligned,0.5,multiomics_core,5,0.9874551858786993,153,0.6209150326797386,0.6049603174603175,0.5818050117154943,0.8290948098956706
UCEC_molecular_subtype,43,liquid_cfc_modality_sequence,train_misaligned,0.75,multiomics_core,6,0.9835968137254902,153,0.7908496732026143,0.7796897546897547,0.7838410115434524,0.9347841058593808
UCEC_molecular_subtype,43,small_liquid_cfc_modality_sequence,train_misaligned,0.75,multiomics_core,3,0.9528415197600779,153,0.7647058823529411,0.8020382395382395,0.7620705896500581,0.929456898273735
UCEC_molecular_subtype,43,liquid_cfc_modality_sequence,test_misaligned,0.75,multiomics_core,4,0.9966689501887711,153,0.47058823529411764,0.45725108225108224,0.44071651620961794,0.7489681514987248
UCEC_molecular_subtype,43,small_liquid_cfc_modality_sequence,test_misaligned,0.75,multiomics_core,8,0.9983193277310924,153,0.49019607843137253,0.4744975262832406,0.46267142746811424,0.7558134140146172
UCEC_molecular_subtype,43,liquid_cfc_modality_sequence,train_misaligned,1.0,multiomics_core,27,0.8880582640664962,153,0.6993464052287581,0.6698644609358895,0.662229729858479,0.884249333067721
UCEC_molecular_subtype,43,small_liquid_cfc_modality_sequence,train_misaligned,1.0,multiomics_core,35,0.8617912327974668,153,0.6797385620915033,0.6634997938569367,0.6535310292832742,0.8730966755445437
